id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
prosent-begrep-10,begrep,Tall og algebra,Prosent,"Eleven kan forklare hva prosent betyr, og regne om mellom prosent, desimaltall og brøk. Prosent læres normalt på barnetrinnet, men tas med som en rot-node her siden den ikke inngår eksplisitt i kompetansemålene etter 8. eller 9. trinn, og eksamen forutsetter den godt innøvd.",,del1,
finne-prosentdel-av-tall-10,ferdighet,Tall og algebra,Finne prosentdel og totalen av et tall,"Eleven kan regne ut hvor mye en gitt prosentandel av et tall utgjør, og regne baklengs for å finne totalen når en prosentdel og delmengden er kjent.",prosent-begrep-10,del1,"Gi eleven et tall og en prosentsats og be dem finne prosentdelen for hånd, uten kalkulator. Gi også en baklengs oppgave: en kjent delmengde og hvor mange prosent den utgjør, der eleven skal finne totalen."
finne-prosentvis-endring-10,ferdighet,Tall og algebra,Finne prosentvis endring og opprinnelig verdi,"Eleven kan regne ut hvor mange prosent en verdi har økt eller blitt redusert med gitt to verdier, og regne baklengs for å finne opprinnelig verdi når prosentvis endring og ny verdi er kjent.",finne-prosentdel-av-tall-10,del1,"Gi eleven en opprinnelig og en ny pris og be dem finne den prosentvise endringen for hånd. Gi også den motsatte oppgaven: en kjent rabatt i prosent og den nye prisen, der eleven skal finne prisen før rabatten."
vurdere-annen-losning-prosent,ferdighet,Tall og algebra,Vurdere en gitt løsning på et prosentproblem,"Eleven kan vurdere om en annen persons løsning på et prosentproblem er riktig, oppdage en typisk feil (f.eks. å regne prosentvis endring ut fra feil grunnlag), og begrunne svaret.",finne-prosentvis-endring-10,del1,"Vis eleven en fullstendig, men feil utregning av en prosentvis endring (f.eks. der differansen deles på den nye verdien i stedet for den opprinnelige), og be eleven vurdere om løsningen er riktig, forklare hva som eventuelt er feil, og vise riktig framgangsmåte."
potensregler-repetisjon-10,begrep,Tall og algebra,Potenser og kvadratrøtter,"Eleven kjenner potensbegrepet og kvadratrøtter, og kan regne ut potenser og kvadratrøtter for hånd - grunnlaget for blant annet volumskalering og kvadratsetningene.",,del1,
algebraisk-uttrykk-repetisjon-10,begrep,Tall og algebra,Variabler og algebraiske uttrykk,"Eleven vet hva en variabel og et algebraisk uttrykk er, og kan sette opp og forenkle et enkelt uttrykk med tall, variabler og konstanter.",,del1,
kommutativ-assosiativ-distributiv,begrep,Tall og algebra,"Kommutativ, assosiativ og distributiv egenskap","Eleven vet hva den kommutative, assosiative og distributive egenskapen sier, og kjenner dem igjen som reglene for å bytte om rekkefølgen, gruppere om og multiplisere inn i et regnestykke eller uttrykk.",,del1,
bruke-regneregler-og-generalisere,ferdighet,Tall og algebra,Bruke regneregler til å generalisere algebraisk,"Eleven kan bruke kommutativ, assosiativ og distributiv egenskap til å forenkle et algebraisk uttrykk og til å generalisere en tallmessig sammenheng til et algebraisk uttrykk.",algebraisk-uttrykk-repetisjon-10;kommutativ-assosiativ-distributiv,del1,"Gi eleven et regnestykke eller en tallsammenheng som blir enklere å se med en smart omskrivning (f.eks. et produkt av flere tall, eller en tallfølge), og be dem bruke regnereglene til å forenkle og skrive sammenhengen som et generelt algebraisk uttrykk."
generalisere-og-bevise-tallmonster,ferdighet,Tall og algebra,Generalisere og bevise et tall- eller figurmønster,"Eleven kan finne senere ledd i et tall- eller figurmønster, sette opp en algebraisk formel for ledd n, og vise at formelen stemmer for et gitt ledd.",bruke-regneregler-og-generalisere,del1,"Gi eleven de første leddene i et tallmønster eller figurmønster (f.eks. 2, 6, 12, 20, ...) og be dem finne de to neste leddene, sette opp en formel for ledd n, og vise at formelen gir riktig verdi for et oppgitt ledd."
kvadratsetninger-begrep,begrep,Tall og algebra,Kvadratsetningene,"Eleven kjenner kvadratsetningene ((a+b)² = a²+2ab+b² og (a-b)² = a²-2ab+b²) og konjugatsetningen ((a+b)(a-b) = a²-b²), og kan gjenkjenne dem i et uttrykk.",algebraisk-uttrykk-repetisjon-10,del1,
utforske-kvadratsetning-geometrisk,ferdighet,Tall og algebra,Utforske en kvadratsetning geometrisk,"Eleven kan forklare og vise en kvadratsetning geometrisk, f.eks. ved å dele opp arealet av et kvadrat eller rektangel i delfigurer med sidelengder a og b.",kvadratsetninger-begrep,del1,"Vis eleven en figur (f.eks. et kvadrat med et hjørne kuttet bort, med sidelengder markert med a og b) og be dem forklare hvorfor det gjenværende arealet kan skrives som et gitt algebraisk uttrykk (f.eks. a²+2ab), ved å dele figuren opp i delfigurer og summere arealene deres."
bruke-kvadratsetninger-som-regnestrategi,ferdighet,Tall og algebra,Bruke kvadratsetningene som regnestrategi,"Eleven kan bruke kvadratsetningene til å regne ut kvadratet av tall for hånd (f.eks. 99² som (100-1)²), og til å faktorisere eller forenkle algebraiske uttrykk.",kvadratsetninger-begrep,del1,"Gi eleven noen tall som er praktiske å kvadrere ved hjelp av en kvadratsetning (f.eks. 99², 51²) og be dem regne dem ut for hånd uten kalkulator ved å skrive tallet som en sum eller differanse. Gi også et algebraisk uttrykk som skal faktoriseres ved hjelp av en av kvadratsetningene."
generalisere-tallpuslespill-algebraisk,ferdighet,Tall og algebra,Generalisere et talleksperiment algebraisk,"Eleven kan følge en gitt tallprosedyre med selvvalgte tall, og deretter generalisere prosedyren algebraisk (med variabler) for å vise hvorfor resultatet alltid blir det samme.",bruke-regneregler-og-generalisere,del2,"Gi eleven en tallprosedyre beskrevet i steg (f.eks. velg to tall, kombiner dem på en bestemt måte, og del på summen) og be dem først prøve med egenvalgte tall, og deretter erstatte tallene med variabler (f.eks. a og b) og forenkle uttrykket algebraisk for å vise at resultatet alltid blir det samme."
sette-opp-arealuttrykk-med-variabler,ferdighet,Tall og algebra,Sette opp et algebraisk arealuttrykk fra en figur,"Eleven kan sette opp og forenkle et algebraisk uttrykk for arealet eller omkretsen av en figur der noen mål er oppgitt som variable uttrykk.",bruke-regneregler-og-generalisere,del1,"Gi eleven en figur (f.eks. et trapes) der noen sidelengder er oppgitt med tall og andre med et uttrykk som inneholder en variabel (f.eks. x-2), og be dem sette opp og forenkle et algebraisk uttrykk for arealet."
lose-ligning-repetisjon-10,ferdighet,Ligningssett og modellering,Løse en ligning med én ukjent,"Eleven kan løse en ligning med én ukjent ved å utføre den samme operasjonen på begge sider av likhetstegnet.",,del1,
ligningssett-begrep,begrep,Ligningssett og modellering,Ligningssett,"Eleven vet hva et ligningssett er (to eller flere ligninger med de samme ukjente som skal være sanne samtidig), og at løsningen er verdiene som passer i alle ligningene.",lose-ligning-repetisjon-10,del1,
