id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
rekke-begrep,begrep,Rekker,Rekke og delsum,"Eleven vet at en rekke er summen av leddene i en tallfølge, kjenner notasjonen for delsum (S_n) og for en uendelig rekke, og vet at en uendelig rekke konvergerer dersom følgen av delsummer har en grenseverdi.",,del1,
aritmetisk-rekke-begrep,begrep,Rekker,Aritmetisk rekke,"Eleven vet at en aritmetisk rekke har konstant differanse mellom påfølgende ledd, og kjenner formelen for summen av de n første leddene uttrykt ved første og siste ledd.",rekke-begrep,del1,
bestemme-sum-aritmetisk-rekke,ferdighet,Rekker,Bestemme summen av en aritmetisk rekke,"Eleven kan, gitt en aritmetisk rekke (eventuelt fra en praktisk situasjon som byggeklosser eller plater med jevnt minkende sidelengde), bestemme antall ledd og summen av rekka.",aritmetisk-rekke-begrep,del1,"Gi eleven en aritmetisk rekke, enten på tallform (f.eks. -3+0+3+...+69) eller fra en praktisk situasjon (f.eks. plater med sidelengde som minker med et fast tall for hver ny plate), og be dem bestemme antall ledd og summen av rekka."
geometrisk-rekke-begrep,begrep,Rekker,Geometrisk rekke og konvergens,"Eleven vet at en geometrisk rekke har konstant forholdstall (kvotient) mellom påfølgende ledd, at en uendelig geometrisk rekke konvergerer nøyaktig når |k|<1, og kjenner summeformelen S=a_1/(1-k) for en konvergent uendelig geometrisk rekke.",rekke-begrep,del1,
bestemme-konvergensomrade-geometrisk-rekke,ferdighet,Rekker,Bestemme konvergensområdet til en geometrisk rekke med en variabel i kvotienten,"Eleven kan, når kvotienten i en geometrisk rekke er uttrykt ved en variabel x, bestemme hvilke verdier av x som gjør rekka konvergent, ved å løse ulikheten |k(x)|<1.",geometrisk-rekke-begrep,del1,"Gi eleven en uendelig geometrisk rekke der kvotienten inneholder en variabel x (f.eks. 5+5(1/2-x)+5(1/2-x)²+...), og be dem bestemme konvergensområdet til rekka."
anvende-uendelig-geometrisk-rekke-praktisk,ferdighet,Rekker,Anvende summen av en uendelig geometrisk rekke i en praktisk situasjon,"Eleven kan gjenkjenne at en praktisk, repeterende situasjon (f.eks. en ball som spretter stadig lavere, eller et tårn av plater med jevnt minkende areal) gir en konvergent, uendelig geometrisk rekke, og bruke summeformelen til å svare på spørsmål om totalen.",geometrisk-rekke-begrep,del1,"Beskriv en praktisk, repeterende situasjon (f.eks. en ball som spretter til en fast prosentandel av forrige høyde, eller et tårn av plater med jevnt minkende sidelengde), og be eleven sette opp den tilhørende uendelige geometriske rekka og bestemme summen."
rekursiv-folge-begrep,begrep,Rekursjon og programmering,Rekursivt definert følge,"Eleven vet at en rekursivt definert følge gir hvert ledd som et uttrykk avhengig av det forrige leddet (eller flere foregående ledd), og at man trenger en oppgitt startverdi for å regne ut leddene.",,del2,
programmere-rekursiv-folge,ferdighet,Rekursjon og programmering,Skrive et program som regner ut ledd i en rekursiv følge,"Eleven kan skrive et kort program som, gitt startverdien og den rekursive sammenhengen, regner ut og skriver ut et gitt antall ledd i følgen.",rekursiv-folge-begrep,del2,"Gi eleven en rekursiv sammenheng (f.eks. a_n=(a_{n-1}-1)²) og en startverdi, og be dem lage et program som skriver ut de første seks leddene i følgen."
avgjore-konvergens-rekursiv-folge,ferdighet,Rekursjon og programmering,Avgjøre om en rekursiv følge kan bli konvergent,"Eleven kan undersøke, for eksempel ved å prøve ulike heltallige startverdier eller resonnere om faste punkt i den rekursive sammenhengen, om det finnes en startverdi som gjør følgen konvergent.",rekursiv-folge-begrep,del2,"Gi eleven en rekursiv sammenheng (f.eks. a_n=(a_{n-1}-1)²), og be dem avgjøre om det finnes et heltall som startverdi som gjør følgen konvergent, med begrunnelse."
modellere-gjentatt-eksponering-med-delvis-utskillelse,ferdighet,Rekursjon og programmering,Modellere gjentatt tilførsel med delvis utskillelse som en rekursiv sammenheng,"Eleven kan sette opp en rekursiv sammenheng for en mengde som øker med et fast tilskudd hver periode, men der en fast prosentandel skilles ut mellom tilskuddene, og bruke sammenhengen (eventuelt et program eller en rekke) til å finne ut når mengden når et gitt nivå.",rekursiv-folge-begrep;anvende-uendelig-geometrisk-rekke-praktisk,del2,"Beskriv en praktisk situasjon der en person utsettes for et fast tilskudd av et stoff hver periode (f.eks. hver natt), samtidig som kroppen skiller ut en fast prosentandel av total mengde mellom tilskuddene, og be eleven regne ut hvor mange perioder som går før mengden når et gitt, potensielt farlig nivå."
bestemme-parameter-fra-krav-til-grenseverdi-i-modell,ferdighet,Rekursjon og programmering,Bestemme en ukjent utskillelsesrate fra en påstått grenseverdi i en gjentatt-tilførsel-modell,"Eleven kan, når det er oppgitt hvilken øvre grense en mengde med gjentatt tilskudd og delvis utskillelse aldri overstiger, bruke summeformelen for en konvergent uendelig geometrisk rekke til å regne ut hvilken prosentandel som må skilles ut per periode.",modellere-gjentatt-eksponering-med-delvis-utskillelse,del2,"Gi eleven en påstand om at en mengde med et fast tilskudd per periode aldri overstiger en oppgitt øvre grense, og be dem regne ut hvor mange prosent av mengden som i så fall må skilles ut per periode, ved å bruke summeformelen for den tilhørende geometriske rekka."
radianer-begrep,begrep,Trigonometri: funksjoner og identiteter,Radianer,"Eleven vet at radianer er en alternativ enhet for vinkler basert på buelengde, kjenner sammenhengen 180°=π radianer, og kan veksle mellom grader og radianer.",,del1,
pytagoreisk-identitet-og-kvadrant,ferdighet,Trigonometri: funksjoner og identiteter,Bestemme de andre trigonometriske verdiene fra én oppgitt verdi og kvadrant,"Eleven kan bruke den pytagoreiske identiteten sin²v+cos²v=1 (og eventuelt sammenhengen tan v=sin v/cos v) til å bestemme de to andre trigonometriske verdiene når én av sin v, cos v eller tan v er oppgitt, ved å bruke informasjon om hvilken kvadrant vinkelen ligger i til å velge riktig fortegn.",radianer-begrep,del1,"Gi eleven verdien av én trigonometrisk størrelse (sin v, cos v eller tan v) og informasjon om hvilken kvadrant v ligger i, og be dem bestemme de to andre eksakte verdiene."
lose-enkel-trigonometrisk-likning,ferdighet,Trigonometri: funksjoner og identiteter,Løse en trigonometrisk likning på formen cos(kx)=c eller sin(kx)=c på et gitt intervall,"Eleven kan løse en likning på formen cos(kx+φ)=c eller sin(kx+φ)=c, eventuelt etter først å ha isolert sin- eller cos-uttrykket i en likning med amplitude og/eller vertikal forskyvning (f.eks. A·sin(kx+φ)+d=e), ved å finne alle løsninger i en periode og deretter bruke periodisiteten til å finne alle løsninger i et gitt, eventuelt utvidet intervall.",radianer-begrep,del1,"Gi eleven en likning på formen 2cos(kx+φ)=c (eller tilsvarende med sin, eventuelt med amplitude og vertikal forskyvning som må isoleres først) og et intervall for x, og be dem finne alle løsningene i intervallet."
lose-trigonometrisk-likning-ved-omskriving,ferdighet,Trigonometri: funksjoner og identiteter,Løse en trigonometrisk likning ved å skrive den om til én trigonometrisk funksjon,"Eleven kan løse en likning som inneholder både sin x og cos x (f.eks. sin x - √3 cos x = 0) ved å dele på cos x for å få en likning i tan x, og deretter løse denne på et gitt intervall.",lose-enkel-trigonometrisk-likning,del1,"Gi eleven en likning som inneholder både sin x og cos x (f.eks. sin x - √3 cos x = 0) på et gitt intervall, og be dem løse likningen ved å skrive den om til én trigonometrisk funksjon."
antall-losninger-avhengig-av-parameter,ferdighet,Trigonometri: funksjoner og identiteter,Avgjøre hvor mange løsninger en faktorisert trigonometrisk likning har avhengig av en parameter,"Eleven kan, for en likning på formen (sin x - b)(sin x - a) = 0 på et gitt intervall, resonnere om hvor mange løsninger likningen totalt får for ulike verdier av parameteren a, inkludert spesialtilfeller der de to faktorene gir sammenfallende løsninger.",lose-enkel-trigonometrisk-likning,del1,"Gi eleven en likning på formen (sin x - 1/2)(sin x - a) = 0 på et gitt intervall, og be dem finne for hvilke verdier av a likningen har henholdsvis to, tre og fire løsninger."
lese-sinusfunksjon-fra-graf,ferdighet,Trigonometri: funksjoner og identiteter,Bestemme et mulig funksjonsuttrykk for en sinusformet graf,"Eleven kan, ut fra en tegnet periodisk graf, lese av amplitude, vertikal forskyvning, periode og eventuell horisontal forskyvning, og sette dette sammen til et funksjonsuttrykk på formen A·sin(cx+φ)+d eller A·cos(cx+φ)+d, avhengig av hvilken form oppgaven ber om.",radianer-begrep;periodisk-funksjon-parametre-begrep,del1,"Vis eleven en tegnet, periodisk (sinusformet) graf med tydelig skala, og be dem bestemme et mulig funksjonsuttrykk for grafen på formen A·sin(cx+φ)+d, eventuelt A·cos(cx+φ)+d om oppgaven spesifiserer det."
vurdere-pastand-om-radianer,ferdighet,Trigonometri: funksjoner og identiteter,Vurdere en påstand om sammenhengen mellom grader og radianer,"Eleven kan avgjøre om en påstått likhet mellom en vinkel i grader og en vinkel i radianer er sann eller usann, med begrunnelse basert på sammenhengen 180°=π radianer.",radianer-begrep,del1,"Presenter en påstand om at en gitt vinkel i grader er det samme som en gitt vinkel i radianer, og be eleven avgjøre om påstanden er sann eller usann, med begrunnelse."
antiderivert-begrep,begrep,Integrasjonsteknikker,Antiderivert og ubestemt integral,"Eleven vet at en antiderivert F til en funksjon f er en funksjon slik at F'=f, at det ubestemte integralet av f er mengden av alle antideriverte (F(x)+C), og kjenner de grunnleggende integrasjonsreglene fra tidligere (potensregelen, e^x, sum- og konstantregelen).",,del1,
bestemt-integral-med-standardregler,ferdighet,Integrasjonsteknikker,Bestemme et bestemt integral med kjente integrasjonsregler,"Eleven kan bestemme verdien av et bestemt integral av en sum av standardfunksjoner (potensledd, eksponentialfunksjon) ved å finne en antiderivert og sette inn grensene.",antiderivert-begrep,del1,"Gi eleven et bestemt integral av en sum av standardfunksjoner (f.eks. ∫(e^(2x)+x)dx fra 0 til 2), og be dem regne ut verdien."
integrasjon-ved-substitusjon,ferdighet,Integrasjonsteknikker,Bestemme et integral ved substitusjon,"Eleven kan gjenkjenne når et integral egner seg for substitusjon (en indre funksjon og dens deriverte opptrer i integranden), utføre substitusjonen, integrere det forenklede uttrykket, og bytte tilbake til opprinnelig variabel.",antiderivert-begrep,del1,"Gi eleven et integral som egner seg for substitusjon (f.eks. ∫sin(ln x)/x dx), og be dem løse det ved å innføre en passende substitusjon."
integrasjon-ved-delvis-integrasjon,ferdighet,Integrasjonsteknikker,Bestemme et integral ved delvis integrasjon,"Eleven kan bestemme et integral av et produkt av to funksjoner (f.eks. et polynom og en trigonometrisk eller eksponentiell funksjon) ved å bruke delvis integrasjon, med riktig valg av hvilken faktor som deriveres og hvilken som integreres.",antiderivert-begrep,del1,"Gi eleven et integral av et produkt av to funksjoner (f.eks. ∫4x·cos x dx), og be dem løse det ved delvis integrasjon."
finne-funksjon-fra-derivert-og-punkt,ferdighet,Integrasjonsteknikker,Bestemme en funksjon fra dens deriverte og et kjent punkt på grafen,"Eleven kan bestemme det fullstendige funksjonsuttrykket til f, gitt f'(x) og at grafen til f går gjennom et oppgitt punkt, ved å finne den generelle antideriverte og deretter bestemme integrasjonskonstanten.",antiderivert-begrep,del1,"Gi eleven uttrykket for f'(x) og et punkt grafen til f går gjennom, og be dem bestemme f(x)."
riemannsum-begrep,begrep,Integral som grenseverdi og fundamentalteoremet,Integral som grenseverdi av en riemannsum,Eleven vet at det bestemte integralet av en funksjon over et intervall kan defineres som grenseverdien av summen av arealene til stadig smalere rektangler under grafen når antall rektangler går mot uendelig.,,del1,
fundamentalteorem-begrep,begrep,Integral som grenseverdi og fundamentalteoremet,Analysens fundamentalteorem,"Eleven vet at analysens fundamentalteorem knytter sammen integrasjon og derivasjon: at det bestemte integralet av f fra a til b er lik F(b)-F(a) for en vilkårlig antiderivert F, og at den deriverte av arealfunksjonen A(x)=∫f(t)dt fra a til x er f(x) selv.",riemannsum-begrep;antiderivert-begrep,del1,
arealfunksjon-begrep,begrep,Integral som grenseverdi og fundamentalteoremet,Arealfunksjon,"Eleven vet at arealfunksjonen A(x)=∫f(t)dt fra a til x gir det akkumulerte arealet under grafen til f så langt, som funksjon av den øvre grensa x, og at den, ifølge analysens fundamentalteorem, er deriverbar med A'(x)=f(x).",fundamentalteorem-begrep,del1,
tolke-fortegn-og-areal-av-integral,ferdighet,Integral som grenseverdi og fundamentalteoremet,Tolke fortegn og velge riktig kombinasjon av integraler for et markert areal,"Eleven kan, ut fra en graf der funksjonen skifter fortegn, avgjøre hvilken kombinasjon av bestemte integraler (med riktig fortegn på hvert ledd) som faktisk gir det geometriske arealet av et markert område, og begrunne valget.",fundamentalteorem-begrep,del1,"Vis eleven en graf til en funksjon som skifter fortegn over et markert område, sammen med flere alternative uttrykk satt sammen av bestemte integraler, og be dem avgjøre hvilket uttrykk som gir det riktige arealet, med begrunnelse."
beregne-areal-med-fortegnskorreksjon,ferdighet,Integral som grenseverdi og fundamentalteoremet,Beregne et areal som krever fortegnskorreksjon av integraler,"Eleven kan regne ut det geometriske arealet av et område avgrenset av en graf som skifter fortegn, ved å dele opp i riktige delintervall og legge sammen absoluttverdiene av delintegralene.",tolke-fortegn-og-areal-av-integral,del1,"Gi eleven en funksjon og et markert område som strekker seg over et nullpunkt der funksjonen skifter fortegn, og be dem regne ut arealet av området."
forklare-flere-losninger-integrallikning,ferdighet,Integral som grenseverdi og fundamentalteoremet,Forklare hvorfor en likning om et bestemt integral kan ha flere løsninger,"Eleven kan forklare, ut fra hvordan arealfunksjonen oppfører seg (øker/minker avhengig av fortegnet til integranden), hvorfor en likning av typen ∫f(x)dx fra a til en fast øvre grense = 0 kan ha flere løsninger for a, og bruke en graf til å anslå en annen løsning enn en oppgitt.",tolke-fortegn-og-areal-av-integral;arealfunksjon-begrep,del1,"Gi eleven en graf og en likning av typen ∫f(x)dx fra a til en fast øvre grense = 0 med én kjent, tilnærmet løsning for a, og be dem forklare hvorfor likningen har en løsning til, og anslå denne ut fra grafen."
tolke-areal-under-fartsgraf,ferdighet,Integral som grenseverdi og fundamentalteoremet,Vurdere en påstand om hva arealet under en fartsgraf representerer,"Eleven kan vurdere og avkrefte eller bekrefte en påstand om hva det bestemte integralet av en fartsfunksjon (arealet under en fartsgraf) representerer fysisk - nemlig tilbakelagt strekning, ikke akselerasjon.",fundamentalteorem-begrep,del1,"Presenter en påstand om at arealet under en fartsgraf kan tolkes som akselerasjon, og be eleven avgjøre om påstanden er sann eller usann, med begrunnelse om hva integralet av en fartsfunksjon faktisk representerer."
venstre-hoyre-riemannsum-begrep,begrep,Numerisk integrasjon,Venstre- og høyresum,"Eleven vet at en venstresum og en høyresum tilnærmer et bestemt integral ved å bruke funksjonsverdien i henholdsvis venstre og høyre endepunkt av hvert delintervall, og at den ene tilnærmingen overvurderer og den andre undervurderer integralet når funksjonen er monoton på intervallet.",riemannsum-begrep,del2,
tolke-python-kode-for-riemannsum,ferdighet,Numerisk integrasjon,Forklare hvorfor venstre- og høyresum gir henholdsvis for høy og for lav verdi,"Eleven kan, ut fra et gitt Python-program som regner ut en venstre- og en høyresum for en voksende (eller avtagende) funksjon, forklare hvorfor den ene metoden gir en litt for høy verdi for arealet og den andre en litt for lav verdi.",venstre-hoyre-riemannsum-begrep,del2,"Vis eleven et Python-program som regner ut arealet under en gitt, monoton funksjon med både en venstresum- og en høyresum-metode, og be dem forklare hvorfor den ene metoden overvurderer og den andre undervurderer det egentlige arealet."
skrive-program-for-mer-noyaktig-numerisk-integrasjon,ferdighet,Numerisk integrasjon,Skrive et program som beregner et bestemt integral mer nøyaktig,"Eleven kan, ut fra en ufullstendig kode-mal, skrive ferdig en funksjon som beregner et bestemt integral mer nøyaktig enn en enkel venstre- eller høyresum, uten å dele opp intervallet i flere delintervall (for eksempel ved å bruke den eksakte antideriverte eller en midtpunkt-/trapesmetode).",tolke-python-kode-for-riemannsum;fundamentalteorem-begrep,del2,"Gi eleven en ufullstendig kode-mal for en funksjon som skal beregne et bestemt integral for en gitt funksjon, og be dem fullføre koden med en mer nøyaktig metode enn venstre-/høyresum, samt kjøre og vise resultatet."
areal-mellom-grafer,ferdighet,Funksjonsdrøfting og omdreiningslegemer,Bestemme arealet av området mellom to grafer,"Eleven kan finne skjæringspunktene mellom to funksjoner, avgjøre hvilken funksjon som ligger øverst mellom skjæringspunktene, og bestemme arealet av området mellom grafene ved å integrere differansen mellom dem.",fundamentalteorem-begrep,del1,"Gi eleven to funksjonsuttrykk, og be dem finne skjæringspunktene og bestemme arealet av området som er avgrenset av de to grafene."
omdreiningslegeme-begrep,begrep,Funksjonsdrøfting og omdreiningslegemer,Omdreiningslegeme,"Eleven vet at når grafen til en funksjon dreies 360° om førsteaksen, oppstår et omdreiningslegeme, og at volumet er gitt ved V=π∫f(x)²dx over det aktuelle intervallet.",fundamentalteorem-begrep,del1,
