id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
standardform-begrep,begrep,"Tall, potenser og standardform",Standardform,"Eleven vet hva et tall på standardform er (a·10^n, der 1 ≤ a < 10), og forstår hvorfor standardform brukes til å skrive svært store eller svært små tall oversiktlig.",,del1,
tall-standardform-om,ferdighet,"Tall, potenser og standardform",Regne om til og fra standardform,"Eleven kan regne om et tall mellom vanlig desimalform og standardform, i begge retninger.",standardform-begrep,del1,"Gi eleven tall både i vanlig desimalform og i standardform (inkludert svært store og svært små tall), og be dem regne om til den andre formen. Ren mekanisk øvelse, uten kalkulator."
potensregler-begrep,begrep,"Tall, potenser og standardform",Potensregler,"Eleven kjenner potensreglene for produkt og kvotient av potenser med samme grunntall, potens av en potens, negativ eksponent og potens med eksponent 0.",grunntall-eksponent-begrep,del1,
potens-regne-uttrykk,ferdighet,"Tall, potenser og standardform",Regne ut og forenkle potensuttrykk,"Eleven kan regne ut og forenkle uttrykk med potenser, inkludert negative eksponenter, for hånd uten kalkulator.",potensregler-begrep,del1,"Gi eleven et sett potensuttrykk (blant annet med negativ eksponent, som 10^-1 eller 3^-2) og be dem regne ut verdien for hånd, uten kalkulator. Krev at eleven viser hvilken potensregel som brukes i hvert steg."
rotuttrykk-begrep,begrep,"Tall, potenser og standardform",Rotuttrykk og sammenheng med potenser,"Eleven vet hva en kvadratrot (og mer generelt en n-te rot) er, og kjenner sammenhengen mellom rotuttrykk og potenser med brøkeksponent.",,del1,
rotuttrykk-forenkle,ferdighet,"Tall, potenser og standardform",Forenkle og regne ut rotuttrykk,"Eleven kan regne ut og forenkle rotuttrykk for hånd, blant annet ved å skrive dem om til potensform når det er hensiktsmessig.",rotuttrykk-begrep;potensregler-begrep,del1,"Gi eleven rotuttrykk som √81 eller √(10^6), og be dem regne ut verdien for hånd, uten kalkulator. Be dem gjerne vise sammenhengen med potensform underveis."
sammenligne-tall-storrelse,ferdighet,"Tall, potenser og standardform",Sammenligne og sortere tall på ulike former,"Eleven kan sammenligne størrelsen på tall gitt på ulike former (potenser, røtter, standardform, brøk) ved å regne dem om til en felles, sammenlignbar form, og sortere dem i stigende eller synkende rekkefølge.",potens-regne-uttrykk;rotuttrykk-forenkle,del1,"Gi eleven et sett med 5-7 tall skrevet på ulike former (potenser med negative eksponenter, rotuttrykk, vanlige tall) og be dem regne ut hvert tall og sortere dem i stigende rekkefølge, uten kalkulator."
store-tall-praktisk,ferdighet,"Tall, potenser og standardform",Regne praktisk med svært store eller små tall,"Eleven kan gjøre praktiske beregninger (multiplikasjon/divisjon) med svært store eller svært små tall uten å miste oversikt over størrelsesorden, for hånd.",tall-standardform-om,del1,"Gi eleven en praktisk situasjon med et svært lite eller svært stort tall (f.eks. vekten av en enkelt partikkel, og en total mengde), og be dem regne ut et svar (f.eks. antall partikler) for hånd, uten kalkulator."
prosent-grunnbegrep,begrep,Prosent og vekstfaktor,Prosent,"Eleven kan forklare hva prosent betyr, og kan regne om mellom prosent, desimaltall og brøk.",,begge,
prosent-av-tall,ferdighet,Prosent og vekstfaktor,Finne prosentdel av et tall,Eleven kan regne ut hvor mye en gitt prosentandel av et tall utgjør.,prosent-grunnbegrep,del1,"Gi eleven et tall og en prosentsats (f.eks. antall dyr og en prosentandel som skal slaktes, eller en pris inkludert mva og selve mva-satsen) og be dem finne prosentdelen for hånd, uten kalkulator."
