id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
sammensatt-maleenhet-begrep-9,begrep,Måling,Sammensatte måleenheter,"Eleven vet at en sammensatt måleenhet (f.eks. km/h, kr/kg eller personer/km²) uttrykker forholdet mellom to størrelser, og kan lese av hva enheten forteller.",,,
regne-med-sammensatte-enheter,ferdighet,Måling,Regne ut en sammensatt størrelse,"Eleven kan regne ut en sammensatt størrelse (f.eks. fart, tetthet eller pris per enhet) når de to grunnleggende størrelsene er kjent.",sammensatt-maleenhet-begrep-9,,"Gi eleven to grunnleggende størrelser fra en praktisk situasjon (f.eks. en strekning og en tid, eller en masse og et volum) og be dem regne ut den sammensatte størrelsen (fart, tetthet), og forklare hva svaret betyr."
omregne-mellom-enheter-i-sammensatt-storrelse,ferdighet,Måling,Regne om enheter før en sammensatt beregning,"Eleven kan gjøre om mellom ulike måleenheter (f.eks. minutter og timer, eller gram og kilogram) før en sammensatt størrelse regnes ut, slik at enhetene stemmer overens.",regne-med-sammensatte-enheter,,"Gi eleven en praktisk situasjon der størrelsene er oppgitt i enheter som ikke passer direkte sammen (f.eks. en strekning i meter og en tid i minutter, der svaret skal være i km/h), og be dem gjøre om enhetene riktig før de regner ut den sammensatte størrelsen."
lage-og-lose-praktisk-problem-sammensatt-enhet,ferdighet,Måling,Lage og løse et sammensatt problem med måleenheter,"Eleven kan lage og løse et sammensatt, praktisk problem som krever flere regnesteg med sammensatte måleenheter, og vurdere om svaret er rimelig.",omregne-mellom-enheter-i-sammensatt-storrelse,,"Gi eleven en åpen, praktisk situasjon som krever flere steg og enhetsomregninger (f.eks. å sammenligne strømforbruket til to apparater over en gitt periode, eller regne ut hvor lang tid en tur tar gitt en gjennomsnittsfart og noen stopp), og be dem løse problemet og begrunne hvert steg."
kvadratrot-repetisjon-9,begrep,Geometri,Kvadratrøtter,"Eleven vet hva en kvadratrot er, og kan regne ut eller anslå kvadratroten av et tall for hånd - grunnlaget for Pytagoras' læresetning.",,,
vinkel-begrep,begrep,Geometri,Vinkel,"Eleven vet hva en vinkel er og hvordan den måles i grader, og kan sammenligne størrelsen på ulike vinkler.",,,
egenskaper-2d-figurer,begrep,Geometri,Egenskaper ved todimensjonale figurer,"Eleven kan beskrive egenskaper ved ulike todimensjonale figurer (f.eks. sider, vinkler, diagonaler og symmetri) og bruke disse til å klassifisere figurene.",vinkel-begrep,,
formlikhet-begrep,begrep,Geometri,Formlikhet,"Eleven vet hva det vil si at to figurer er formlike: de har samme form, like vinkler og et konstant forhold mellom tilsvarende sider.",egenskaper-2d-figurer;vinkel-begrep,,
kongruens-begrep,begrep,Geometri,Kongruens,"Eleven vet hva det vil si at to figurer er kongruente (helt like, samme form og størrelse), og hvordan dette skiller seg fra formlikhet.",formlikhet-begrep,,
trekanttyper-vinkel-begrep,begrep,Geometri,Trekanttyper etter vinkler,"Eleven vet hvordan en trekant klassifiseres som rettvinklet, spissvinklet eller buttvinklet ut fra størrelsen på vinklene, og kan kjenne igjen hver type.",vinkel-begrep,,
avgjore-formlikhet-kongruens,ferdighet,Geometri,Avgjøre om figurer er formlike eller kongruente,"Eleven kan avgjøre og begrunne om to gitte figurer er formlike, kongruente, eller ingen av delene.",kongruens-begrep,,"Vis eleven flere par av figurer (noen formlike, noen kongruente, noen ingen av delene, med sidelengder og/eller vinkler oppgitt) og be dem avgjøre hvilken kategori hvert par tilhører, og begrunne svaret med hva som er likt og ulikt."
