id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
kf-fagsprak,begrep,Kjemi som fag,Kjemisk fagspråk og notasjon,"Eleven kjenner igjen og forstår kjemisk fagspråk og notasjon - kjemiske formler, navnsetting av forbindelser, symboler for tilstandsformer (s, l, g, aq) og reaksjonspiler - som brukes til å kommunisere presist om stoffer og reaksjoner.",,,
kf-bruke-fagsprak,ferdighet,Kjemi som fag,Bruke kjemisk fagspråk i faglig kommunikasjon,"Eleven kan bruke kjemisk fagspråk og fagbegreper presist når hen forklarer, begrunner eller presenterer kjemifaglig innhold, i stedet for upresist eller hverdagslig språk.",kf-fagsprak,,"Gi eleven en kort kjemifaglig forklaring skrevet med upresist eller hverdagslig språk, og be dem omformulere den med presist kjemisk fagspråk."
kf-sikkerhetsdatablad-begrep,begrep,Kjemi som fag,Sikkerhetsdatablad og faresymboler,"Eleven vet hva et sikkerhetsdatablad inneholder, kjenner de vanligste faresymbolene (piktogrammene), og vet hva H- og P-setninger forteller om et stoff.",,,
kf-hms-vurdering,ferdighet,Kjemi som fag,Bruke sikkerhetsdatablad til å vurdere HMS i praktisk arbeid,"Eleven kan bruke informasjon fra et sikkerhetsdatablad til å vurdere helse-, miljø- og sikkerhetsrisiko ved et konkret forsøk, og foreslå tiltak for å redusere risikoen.",kf-sikkerhetsdatablad-begrep,,"Gi eleven et utdrag fra et sikkerhetsdatablad for et kjemikalie brukt i et gitt forsøk, og be dem vurdere hvilke HMS-tiltak som bør gjøres."
kf-usikkerhet-feilkilder,begrep,Kjemi som fag,Usikkerhet og feilkilder,"Eleven vet forskjellen på en tilfeldig feilkilde (som gir spredning i gjentatte målinger) og en systematisk feilkilde (som gir et konsekvent avvik i én retning), og hva usikkerhet i en måling betyr.",,,
kf-planlegge-forsok,ferdighet,Kjemi som fag,Planlegge gjennomføringen av et forsøk,"Eleven kan planlegge hvordan et forsøk skal gjennomføres for å undersøke en gitt kjemifaglig problemstilling, inkludert hvilket utstyr og hvilken fremgangsmåte som trengs.",,,"Gi eleven en enkel kjemifaglig problemstilling (f.eks. å bestemme konsentrasjonen til en ukjent løsning), og be dem skissere en forsøksprosedyre."
kf-vurdere-usikkerhet,ferdighet,Kjemi som fag,Vurdere usikkerhet og feilkilder i et forsøk,"Eleven kan identifisere de viktigste feilkildene i et beskrevet forsøk, vurdere om de er tilfeldige eller systematiske, og vurdere hvordan de kan ha påvirket resultatet.",kf-usikkerhet-feilkilder,,"Beskriv et enkelt kjemiforsøk med et resultat som avviker noe fra en forventet verdi, og be eleven identifisere mulige feilkilder og vurdere om de er tilfeldige eller systematiske."
kf-presentere-argumentere,ferdighet,Kjemi som fag,Presentere resultater og argumentere for gyldigheten av en konklusjon,"Eleven kan presentere resultatene fra et forsøk på en oversiktlig måte, og argumentere for hvor gyldig konklusjonen er ut fra usikkerheten i målingene.",kf-vurdere-usikkerhet,,"Gi eleven et sett med måledata fra et forsøk, og be dem skrive en kort konklusjon der de argumenterer for hvor godt resultatet støtter konklusjonen."
kf-modell-begrep,begrep,Kjemi som fag,Naturvitenskapelig modell,"Eleven vet at en naturvitenskapelig modell er en forenklet representasjon av virkeligheten som brukes til å forklare og forutsi fenomener, og at modeller har både styrker og begrensninger.",,,
kf-bruke-modeller,ferdighet,Kjemi som fag,Bruke modeller til å forklare fenomener og vurdere modellers styrker og begrensninger,"Eleven kan bruke en kjemisk modell (f.eks. en atommodell eller en bindingsmodell) til å forklare en observasjon, og argumentere for hva modellen forklarer godt og hvor den kommer til kort.",kf-modell-begrep,,"Be eleven bruke en navngitt modell fra pensum (f.eks. Bohrs atommodell eller VSEPR) til å forklare et konkret fenomen, og deretter peke på én ting modellen ikke forklarer godt."
